2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,184,-2261.0,20,84.0,10,14,20,5,18
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,27,-1310.0,13,197.0,NIL,NIL,3,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,NIL,28,-105.0,1,-3.0,1,1,1,1,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,279,-172.0,2,34.0,NIL,NIL,1,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,435,-165.0,2,21.0,NIL,NIL,2,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,357,-589.0,6,130.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,264,-94.0,1,16.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,327,-92.0,1,16.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,99,-93.0,1,17.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,342,-168.0,2,28.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,13,-276.0,3,61.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,343,-181.0,2,37.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,88,-115.0,1,10.0,NIL,NIL,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,264,-376.0,4,70.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,263,-336.0,4,43.0,NIL,NIL,4,NIL,2
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,100,-387.0,4,23.0,1,2,4,2,4
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,84,-233.0,2,34.0,NIL,NIL,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,206,-289.0,3,59.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,52,-239.0,2,28.0,NIL,NIL,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,253,-118.0,1,8.0,NIL,NIL,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,428,-1872.0,17,132.0,1,3,17,NIL,17
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,427,-122.0,1,3.0,1,1,1,NIL,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,493,-115.0,1,13.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,214,-92.0,1,17.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,497,-332.0,3,32.0,NIL,1,2,NIL,2
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,17,-103.0,1,20.0,NIL,NIL,NIL,NIL,NIL
